restaurant,city,features
"Shaliga Thai Cuisine", "new_york", "Thai Extraordinary_Food Excellent_Service Good_Decor $15-$30"
"Sukhothai West", "new_york", "Thai Excellent_Food Excellent_Service Excellent_Decor $15-$30"
"L'Auberge du Midi", "new_york", "Excellent_Food Excellent_Service Extraordinary_Decor $30-$50"
"``21'' CLUB", "new_york", "Fabulous_Wine_Lists Wheelchair_Access Good_Out_of_Town_Business Relaxed_Senior_Scene Pub_Feel Power_Brokers Great_for_People_Watching Private_Parties Private_Rooms_Available Hip_Place_To_Be Health_Conscious_Menus Game Warm_spots_by_the_fire Fine_for_Dining_Alone American_(Traditional) Hamburgers_&_Beer Excellent_Food Excellent_Service Extraordinary_Decor over_$50"
"Coastal", "new_york", "Wheelchair_Access Delivery_Available Takeout_Available Special_Brunch_Menu Italian Seafood Excellent_Food Good_Service Good_Decor $15-$30"
"Seryna", "new_york", "Quiet_for_Conversation Private_Parties Private_Rooms_Available Japanese Extraordinary_Food Excellent_Service Extraordinary_Decor $30-$50"
"ZARELA", "new_york", "Good_for_Younger_Kids Weekend_Dining Place_for_Singles Private_Parties Private_Rooms_Available Delivery_Available Takeout_Available Dancing Entertainment Creative Mexican Tex-Mex Extraordinary_Food Excellent_Service Excellent_Decor $30-$50"
"Jai Ya Thai", "new_york", "Weekend_Dining Quirky Delivery_Available Takeout_Available Thai Extraordinary_Food Good_Service Good_Decor $15-$30"
"Mazzei", "new_york", "Weekend_Dining Italian Extraordinary_Food Excellent_Service Excellent_Decor $30-$50"
"Park Side", "new_york", "Delivery_Available Takeout_Available Traditional Traditional Italian Extraordinary_Food Excellent_Service Excellent_Decor $30-$50"
"Lattanzi Ristorante", "new_york", "Romantic Dining_Outdoors Italian Jewish Excellent_Food Excellent_Service Excellent_Decor $30-$50"
"Lion's Head", "new_york", "Weekend_Dining Pub_Feel Private_Parties Private_Rooms_Available After_Hours_Dining Late_Night_Menu Special_Brunch_Menu American_(Traditional) Good_Food Good_Service Excellent_Decor $15-$30"
"Ludlow Street Cafe", "new_york", "Traditional Good_Food Good_Service Good_Decor $15-$30"
"Charlotte", "new_york", "Relaxed_Senior_Scene Prix_Fixe_Menus Classic_Hotel_Dining Health_Conscious_Menus American_(Contemporary) Excellent_Food Excellent_Service Excellent_Decor $30-$50"
"The Nice Restaurant", "new_york", "Chinese Dim_Sum Excellent_Food Good_Service Good_Decor $15-$30"
"Island Spice", "new_york", "Weekend_Dining Quirky Caribbean Excellent_Food Excellent_Service Good_Decor $15-$30"
"Parma", "new_york", "Traditional Italian Excellent_Food Excellent_Service Good_Decor $30-$50"
"Ruth's Chris Steak House", "new_york", "Cab Weekend_Dining Relaxed_Senior_Scene Quiet_for_Conversation Power_Brokers Delivery_Available Takeout_Available Steakhouses Good_Food Good_Service Good_Decor $15-$30"
"Diva", "new_york", "Place_for_Singles Romantic Great_for_People_Watching Dining_Outdoors Up_and_Coming After_Hours_Dining Late_Night_Menu Italian Good_Food Good_Service Good_Decor $15-$30"
"La Bonne Soupe", "new_york", "Good_for_Younger_Kids People_Keep_Coming_Back Delivery_Available Takeout_Available French_Bistro Good_Food Good_Service Good_Decor $15-$30"
"West Broadway Restaurant", "new_york", "American_(Contemporary) Extraordinary_Food Excellent_Service Excellent_Decor $30-$50"
"Karyatis", "new_york", "Quirky Dancing Entertainment Greek Extraordinary_Food Excellent_Service Excellent_Decor $15-$30"
"Hunters", "new_york", "Place_for_Singles Pub_Feel Up_and_Coming Hip_Place_To_Be Warm_spots_by_the_fire Special_Brunch_Menu American_(Traditional) Good_Food Good_Service Good_Decor $15-$30"
"Le Boeuf a la Mode", "new_york", "Weekend_Dining Prix_Fixe_Menus Dining_Outdoors French_Bistro Excellent_Food Excellent_Service Excellent_Decor $30-$50"
"Bukhara", "new_york", "Cab Up_and_Coming Indian Good_Food Good_Service Good_Decor $15-$30"
"Andiamo", "new_york", "Wheelchair_Access Private_Parties Private_Rooms_Available Italian Excellent_Food Excellent_Service Excellent_Decor $30-$50"
"Brazilian Pavilion", "new_york", "Brazilian South_American Good_Food Good_Service Good_Decor $15-$30"
"Pizzeria Uno", "new_york", "For_the_Young_and_Young_at_Heart People_Keep_Coming_Back After_Hours_Dining Late_Night_Menu Pizza Good_Food Good_Service Good_Decor $15-$30"
"Hurricane Island", "new_york", "Up_and_Coming Seafood Good_Food Good_Service Good_Decor $15-$30"
"Little Poland", "new_york", "Coffee_Shops Polish Excellent_Food Good_Service Fair_Decor below_$15"
"Bull & Bear", "new_york", "Relaxed_Senior_Scene Classic_Hotel_Dining Traditional American_(Traditional) Steakhouses Excellent_Food Excellent_Service Excellent_Decor $30-$50"
"Chez Jacqueline", "new_york", "Prix_Fixe_Menus Dining_Outdoors French_Bistro Excellent_Food Excellent_Service Excellent_Decor $30-$50"
"Mueng Thai", "new_york", "Little_Known_But_Well_Liked Thai Extraordinary_Food Excellent_Service Good_Decor $15-$30"
"Hong Fat", "new_york", "Chinese Excellent_Food Good_Service Fair_Decor below_$15"
"Pizzapiazza", "new_york", "Good_for_Younger_Kids People_Keep_Coming_Back Pizza Good_Food Good_Service Good_Decor $15-$30"
"Triangolo", "new_york", "Italian Excellent_Food Excellent_Service Good_Decor $15-$30"
"Chef Ho's", "new_york", "Chinese Excellent_Food Excellent_Service Good_Decor $15-$30"
"Manganaro's Hero-Boy", "new_york", "Wheelchair_Access Delivery_Available Takeout_Available Excellent_Food Good_Service Fair_Decor below_$15"
"Cinema Diner", "new_york", "Good_for_Younger_Kids Up_and_Coming After_Hours_Dining Late_Night_Menu Coffee_and_Dessert Continental Diners Eclectic Good_Food Good_Service Good_Decor $15-$30"
"Briscola", "new_york", "Italian Good_Food Good_Service Good_Decor $15-$30"
"La Luncheonette", "new_york", "French_Bistro Excellent_Food Excellent_Service Good_Decor $30-$50"
"Cleopatra's Needle", "new_york", "Dancing Entertainment Italian Middle_Eastern Vegetarian Good_Food Good_Service Good_Decor $15-$30"
"Churchill's", "new_york", "Wheelchair_Access Weekend_Dining Pub_Feel Prix_Fixe_Menus After_Hours_Dining Late_Night_Menu Fine_for_Dining_Alone Dancing Entertainment Special_Brunch_Menu Traditional American_(Traditional) Hamburgers_&_Beer Good_Food Good_Service Good_Decor $15-$30"
"Kabul Cafe", "new_york", "Up_and_Coming Dancing Entertainment Afghanistan Middle_Eastern Excellent_Food Excellent_Service Good_Decor $15-$30"
"Cafe Metairie", "new_york", "Warm_spots_by_the_fire Traditional French_Bistro Excellent_Food Excellent_Service Excellent_Decor $30-$50"
"Peruvian Restaurant", "new_york", "Peruvian South_American Excellent_Food Good_Service Fair_Decor $15-$30"
"La Fusta", "new_york", "Little_Known_But_Well_Liked Argentinean Italian South_American Extraordinary_Food Excellent_Service Fair_Decor $15-$30"
"Time & Again Restaurant", "new_york", "Classic_Hotel_Dining Health_Conscious_Menus American_(Contemporary) Extraordinary_Food Extraordinary_Service Extraordinary_Decor $30-$50"
"Pomodori", "new_york", "Short_Drive Up_and_Coming Italian Excellent_Food Excellent_Service Good_Decor $15-$30"
"Merchants", "new_york", "After_Hours_Dining Late_Night_Menu Warm_spots_by_the_fire American_(Contemporary) Good_Food Good_Service Excellent_Decor $15-$30"
"Village Atelier", "new_york", "Romantic An_Historic_Spot Traditional French_Bistro Extraordinary_Food Excellent_Service Extraordinary_Decor $30-$50"
"Le Biarritz", "new_york", "Prix_Fixe_Menus French_Bistro Good_Food Good_Service Good_Decor $15-$30"
"The Saloon", "new_york", "Good_for_Younger_Kids People_Keep_Coming_Back Old_World_Cafe_Charm Good_Food Good_Service Good_Decor $15-$30"
"Passage To India", "new_york", "After_Hours_Dining Late_Night_Menu Delivery_Available Takeout_Available Indian Excellent_Food Excellent_Service Good_Decor $15-$30"
"Chelsea Commons", "new_york", "Weekend_Dining Pub_Feel Private_Parties Private_Rooms_Available Dining_Outdoors Delivery_Available Takeout_Available Dancing Entertainment Special_Brunch_Menu American_(Traditional) Good_Food Good_Service Good_Decor $15-$30"
"AUREOLE", "new_york", "Fabulous_Wine_Lists Good_Out_of_Town_Business Relaxed_Senior_Scene Romantic Quiet_for_Conversation Prix_Fixe_Menus Power_Brokers Dining_Outdoors Hip_Place_To_Be Game American_(Contemporary) Near-perfect_Food Near-perfect_Service Near-perfect_Decor over_$50"
"Louie's Westside Cafe", "new_york", "Weekend_Dining Open_for_Breakfast American_(Contemporary) Excellent_Food Excellent_Service Excellent_Decor $15-$30"
"Luke's Bar and Grill", "new_york", "People_Keep_Coming_Back Pub_Feel Dining_Outdoors After_Hours_Dining Late_Night_Menu American_(Traditional) Grills Hamburgers_&_Beer Good_Food Good_Service Good_Decor $15-$30"
"L'Auberge", "new_york", "Dining_Outdoors Up_and_Coming French_Bistro Lebanese Good_Food Good_Service Good_Decor $15-$30"
"Oriental Garden", "new_york", "Little_Known_But_Well_Liked Prix_Fixe_Menus Up_and_Coming After_Hours_Dining Late_Night_Menu Chinese Dim_Sum Seafood Extraordinary_Food Good_Service Good_Decor $15-$30"
"Angels", "new_york", "Private_Parties Private_Rooms_Available Italian Excellent_Food Good_Service Good_Decor $15-$30"
"Charley O's", "new_york", "People_Keep_Coming_Back Warm_spots_by_the_fire American_(Traditional) Irish Fair_Food Good_Service Good_Decor $15-$30"
"Garibaldi", "new_york", "Relaxed_Senior_Scene Fine_for_Dining_Alone Italian Pizza Good_Food Good_Service Good_Decor $15-$30"
"RAO'S", "new_york", "Pub_Feel Power_Brokers Quirky Hip_Place_To_Be Italian Extraordinary_Food Excellent_Service Good_Decor $30-$50"
"Lenge", "new_york", "Delivery_Available Takeout_Available Japanese Good_Food Good_Service Good_Decor $15-$30"
"O'Neal's", "new_york", "Good_for_Younger_Kids Weekend_Dining People_Keep_Coming_Back Pub_Feel Prix_Fixe_Menus Pre-theater_Dining Private_Parties Private_Rooms_Available Dining_Outdoors Old_World_Cafe_Charm Warm_spots_by_the_fire Delivery_Available Takeout_Available American_(Traditional) Hamburgers_&_Beer Good_Food Good_Service Good_Decor $15-$30"
"Gallagher's Steak House", "new_york", "Wheelchair_Access Weekend_Dining Relaxed_Senior_Scene Pre-theater_Dining Private_Parties Private_Rooms_Available An_Historic_Spot American_(Traditional) Steakhouses Excellent_Food Excellent_Service Good_Decor $30-$50"
"Il Corallo Trattoria", "new_york", "Place_for_Singles Italian Pizza Excellent_Food Good_Service Good_Decor $15-$30"
"Halcyon", "new_york", "Relaxed_Senior_Scene After_Hours_Dining Late_Night_Menu Classic_Hotel_Dining Dancing Entertainment Creative American_(Contemporary) Extraordinary_Food Extraordinary_Service Extraordinary_Decor $30-$50"
"Caffe Rafaella", "new_york", "Place_for_Singles Dining_Outdoors After_Hours_Dining Late_Night_Menu Coffee_and_Dessert Italian Good_Food Good_Service Good_Decor $15-$30"
"Bombay Palace", "new_york", "Delivery_Available Takeout_Available Indian Excellent_Food Excellent_Service Good_Decor $15-$30"
"American Festival Cafe", "new_york", "Weekend_Dining People_Keep_Coming_Back Prix_Fixe_Menus Private_Parties Private_Rooms_Available Open_for_Breakfast American_(Traditional) Good_Food Excellent_Service Excellent_Decor $30-$50"
"Ellen's Stardust Diner", "new_york", "Good_for_Younger_Kids For_the_Young_and_Young_at_Heart Delivery_Available Takeout_Available Dancing Entertainment Coffee_and_Dessert Open_for_Breakfast Menus_in_Braille American_(Traditional) Diners Hamburgers_&_Beer Good_Food Good_Service Good_Decor $15-$30"
"La Boite en Bois", "new_york", "Prix_Fixe_Menus French_Bistro Extraordinary_Food Excellent_Service Excellent_Decor $30-$50"
"S.P.Q.R.", "new_york", "Italian Excellent_Food Excellent_Service Excellent_Decor $30-$50"
"Pig Heaven", "new_york", "Good_for_Younger_Kids Private_Parties Private_Rooms_Available Chinese Excellent_Food Good_Service Good_Decor $15-$30"
"Four Winds", "new_york", "Japanese Excellent_Food Excellent_Service Good_Decor $15-$30"
"Caffe Bond!", "new_york", "Excellent_Food Excellent_Service Excellent_Decor $30-$50"
"Malaga", "new_york", "Spanish Excellent_Food Excellent_Service Fair_Decor $15-$30"
"Oriental Pearl", "new_york", "Chinese Dim_Sum Seafood Excellent_Food Good_Service Fair_Decor $15-$30"
"Market Cafe", "new_york", "Up_and_Coming American_(Traditional) Good_Food Good_Service Good_Decor $15-$30"
"SIGN OF THE DOVE", "new_york", "Good_Out_of_Town_Business High_Tea Weekend_Dining Relaxed_Senior_Scene Romantic Prix_Fixe_Menus Pre-theater_Dining Private_Parties Private_Rooms_Available Dining_Outdoors Warm_spots_by_the_fire Dancing Entertainment Special_Brunch_Menu American_(Contemporary) Extraordinary_Food Extraordinary_Service Near-perfect_Decor over_$50"
"Samplings", "new_york", "Good_for_Younger_Kids Prix_Fixe_Menus Private_Parties Private_Rooms_Available Classic_Hotel_Dining Traditional American_(Traditional) Good_Food Good_Service Excellent_Decor $15-$30"
"Orbit", "new_york", "Short_Drive Place_for_Singles Up_and_Coming After_Hours_Dining Late_Night_Menu American_(Contemporary) Italian Good_Food Good_Service Good_Decor $15-$30"
"Rose of India", "new_york", "Indian Excellent_Food Excellent_Service Good_Decor $15-$30"
"Birdland", "new_york", "Private_Parties Private_Rooms_Available Quirky Dancing Entertainment Cajun Creole Southern Soulfood Good_Food Good_Service Good_Decor $15-$30"
"Madeo", "new_york", "Relaxed_Senior_Scene Quiet_for_Conversation Great_for_People_Watching Up_and_Coming Authentic Good_Food Good_Service Good_Decor $15-$30"
"Brighton Grill & Oyster Bar", "new_york", "Weekend_Dining Prix_Fixe_Menus Fine_for_Dining_Alone Delivery_Available Takeout_Available Special_Brunch_Menu Menus_in_Braille American_(Contemporary) Grills Excellent_Food Excellent_Service Good_Decor $15-$30"
"Googies Italian Diner", "new_york", "Good_for_Younger_Kids For_the_Young_and_Young_at_Heart Weekend_Dining Place_for_Singles Dining_Outdoors Up_and_Coming American_(Traditional) Diners Italian Good_Food Good_Service Good_Decor $15-$30"
"Demarchelier", "new_york", "People_Keep_Coming_Back Authentic Traditional French_Bistro Good_Food Good_Service Good_Decor $30-$50"
"Le Bistrot de Maxim's", "new_york", "Quiet_for_Conversation Private_Parties Private_Rooms_Available Dancing Entertainment French_Bistro Good_Food Good_Service Good_Decor $15-$30"
"Barocco", "new_york", "Italian Excellent_Food Excellent_Service Excellent_Decor $30-$50"
"oh la la", "new_york", "Up_and_Coming Coffee_and_Dessert Excellent_Food Excellent_Service Fair_Decor below_$15"
"Orson's", "new_york", "After_Hours_Dining Late_Night_Menu Creative American_(Contemporary) Eclectic Excellent_Food Good_Service Good_Decor $15-$30"
"Sawadee Thai Cuisine", "new_york", "Dining_Outdoors Thai Good_Food Good_Service Good_Decor $15-$30"
"Table d'Hte", "new_york", "Weekend_Dining Prix_Fixe_Menus Special_Brunch_Menu American_(Contemporary) French_Bistro Extraordinary_Food Extraordinary_Service Excellent_Decor $30-$50"
"Meridiana", "new_york", "Italian Excellent_Food Good_Service Excellent_Decor $15-$30"
"Edison Cafe", "new_york", "Classic_Hotel_Dining Polish Good_Food Good_Service Fair_Decor $15-$30"
"Ear Inn", "new_york", "Pub_Feel After_Hours_Dining Late_Night_Menu Dancing Entertainment Hamburgers_&_Beer Excellent_Food Good_Service Good_Decor $15-$30"
"Tout Va Bien", "new_york", "Pre-theater_Dining French_Bistro Excellent_Food Excellent_Service Good_Decor $30-$50"
"Rumpelmayer's", "new_york", "Good_for_Younger_Kids People_Keep_Coming_Back Dining_Outdoors Classic_Hotel_Dining Coffee_and_Dessert American_(Traditional) Pastries Good_Food Good_Service Excellent_Decor $15-$30"
"Chefs & Cuisiniers Club", "new_york", "Wheelchair_Access Prix_Fixe_Menus Private_Parties Private_Rooms_Available Game Delivery_Available Takeout_Available Creative American_(Contemporary) Eclectic Extraordinary_Food Excellent_Service Excellent_Decor $30-$50"
"DANIEL (aka Restaurant Daniel)", "new_york", "Wheelchair_Access Good_Out_of_Town_Business Relaxed_Senior_Scene Quiet_for_Conversation Prix_Fixe_Menus Power_Brokers Great_for_People_Watching Up_and_Coming Hip_Place_To_Be Classic_Hotel_Dining Game French Extraordinary_Food Extraordinary_Service Extraordinary_Decor over_$50"
"Choshi", "new_york", "Japanese Excellent_Food Excellent_Service Good_Decor $15-$30"
"Ciccio & Tony's", "new_york", "Place_for_Singles Pub_Feel Prix_Fixe_Menus Private_Parties Private_Rooms_Available Up_and_Coming After_Hours_Dining Late_Night_Menu Italian Excellent_Food Excellent_Service Excellent_Decor $15-$30"
"Friend of a Farmer", "new_york", "Good_for_Younger_Kids High_Tea Weekend_Dining Dining_Outdoors Warm_spots_by_the_fire Special_Brunch_Menu Open_for_Breakfast American_(Traditional) Excellent_Food Good_Service Excellent_Decor $15-$30"
"Cafe Loup", "new_york", "Prix_Fixe_Menus French_Bistro Excellent_Food Excellent_Service Excellent_Decor $30-$50"
"La Dolce Vita", "new_york", "Coffee_and_Dessert Italian Extraordinary_Food Excellent_Service Excellent_Decor $15-$30"
"Mangia e Bevi", "new_york", "Weekend_Dining Place_for_Singles Up_and_Coming Delivery_Available Takeout_Available Italian Good_Food Good_Service Good_Decor $15-$30"
"Elio's", "new_york", "Great_for_People_Watching Italian Extraordinary_Food Excellent_Service Excellent_Decor $30-$50"
"Shun Lee West", "new_york", "Wheelchair_Access Relaxed_Senior_Scene Delivery_Available Takeout_Available Chinese Extraordinary_Food Excellent_Service Extraordinary_Decor $30-$50"
"Woo Lae Oak of Seoul", "new_york", "Korean Excellent_Food Good_Service Good_Decor $15-$30"
"Arizona 206 and Cafe", "new_york", "Weekend_Dining Place_for_Singles Prix_Fixe_Menus Warm_spots_by_the_fire Dancing Entertainment Creative American_(Regional) Southwestern Extraordinary_Food Excellent_Service Excellent_Decor $30-$50"
"Boca Chica", "new_york", "For_the_Young_and_Young_at_Heart Place_for_Singles Quirky Dancing Entertainment Brazilian Cuban South_American Excellent_Food Good_Service Good_Decor $15-$30"
"Olde Galway", "new_york", "Pub_Feel Up_and_Coming Continental Irish Good_Food Good_Service Good_Decor $15-$30"
"TRIONFO                               ", "new_york", "Italian Excellent_Food Excellent_Service Excellent_Decor $30-$50"
"Ruppert's", "new_york", "For_the_Young_and_Young_at_Heart Weekend_Dining People_Keep_Coming_Back Place_for_Singles Dining_Outdoors After_Hours_Dining Late_Night_Menu American_(Traditional) Hamburgers_&_Beer Good_Food Good_Service Good_Decor $15-$30"
"Tatany", "new_york", "Japanese Extraordinary_Food Excellent_Service Good_Decor $15-$30"
"Florence (fka Caffe Florence)", "new_york", "After_Hours_Dining Late_Night_Menu Health_Conscious_Menus American_(Contemporary) American_(Contemporary) Italian Excellent_Food Excellent_Service Good_Decor $30-$50"
"Grifone", "new_york", "Italian Extraordinary_Food Extraordinary_Service Excellent_Decor $30-$50"
"Clarke's, P.J.", "new_york", "People_Keep_Coming_Back Place_for_Singles Pub_Feel An_Historic_Spot After_Hours_Dining Late_Night_Menu American_(Traditional) Hamburgers_&_Beer Good_Food Good_Service Good_Decor $15-$30"
"MESA GRILL", "new_york", "Wheelchair_Access Good_Out_of_Town_Business Place_for_Singles Hip_Place_To_Be Game American_(Regional) Grills Southwestern Extraordinary_Food Excellent_Service Extraordinary_Decor $30-$50"
"Avanti", "new_york", "Dining_Outdoors Up_and_Coming Italian Good_Food Good_Service Good_Decor $15-$30"
"Lusardi's", "new_york", "Weekend_Dining Delivery_Available Takeout_Available Italian Extraordinary_Food Excellent_Service Excellent_Decor $30-$50"
"Pandit", "new_york", "Indian Excellent_Food Excellent_Service Fair_Decor $15-$30"
"Caffe Cefalu", "new_york", "Coffee_and_Dessert Traditional Italian Excellent_Food Excellent_Service Good_Decor $15-$30"
"Bistro 95", "new_york", "Up_and_Coming Dancing Entertainment Traditional Continental Good_Food Excellent_Service Good_Decor $15-$30"
"Ambassador Grill", "new_york", "Weekend_Dining Quiet_for_Conversation Prix_Fixe_Menus Classic_Hotel_Dining Game Special_Brunch_Menu Open_for_Breakfast Creative American_(Contemporary) Grills Extraordinary_Food Extraordinary_Service Extraordinary_Decor $30-$50"
"Barking Dog Luncheonette", "new_york", "For_the_Young_and_Young_at_Heart Up_and_Coming American_(Traditional) Coffee_Shops Diners Excellent_Food Excellent_Service Excellent_Decor $15-$30"
"Montebello", "new_york", "Prix_Fixe_Menus Italian Extraordinary_Food Extraordinary_Service Excellent_Decor $30-$50"
"Bruno Ristorante", "new_york", "Game Warm_spots_by_the_fire Dancing Entertainment Italian Excellent_Food Excellent_Service Excellent_Decor $30-$50"
"DA UMBERTO", "new_york", "Good_Out_of_Town_Business Hip_Place_To_Be Italian Extraordinary_Food Extraordinary_Service Excellent_Decor $30-$50"
"Joe & Joe", "new_york", "Italian Excellent_Food Excellent_Service Good_Decor $15-$30"
"Haveli", "new_york", "After_Hours_Dining Late_Night_Menu Delivery_Available Takeout_Available Indian Excellent_Food Excellent_Service Excellent_Decor $15-$30"
"Isle of Capri", "new_york", "Italian Seafood Good_Food Excellent_Service Good_Decor $30-$50"
"Penang Malaysia", "new_york", "Quirky Up_and_Coming Malaysian Excellent_Food Excellent_Service Fair_Decor $15-$30"
"Katz's Deli", "new_york", "Good_for_Younger_Kids Weekend_Dining Delivery_Available Takeout_Available Traditional Deli Jewish Excellent_Food Fair_Service Fair_Decor below_$15"
"Bo Ky", "new_york", "Chinese Noodle_Shops Excellent_Food Fair_Service Poor_Decor below_$15"
"Langan's", "new_york", "Place_for_Singles Pub_Feel Prix_Fixe_Menus Pre-theater_Dining Up_and_Coming Dancing Entertainment Special_Brunch_Menu American_(Traditional) Continental Good_Food Good_Service Good_Decor $15-$30"
"Blue Ribbon", "new_york", "Up_and_Coming After_Hours_Dining Late_Night_Menu Hip_Place_To_Be American_(Contemporary) Eclectic Extraordinary_Food Excellent_Service Excellent_Decor $30-$50"
"Jean Lafitte", "new_york", "Prix_Fixe_Menus Traditional French_Bistro Excellent_Food Excellent_Service Excellent_Decor $30-$50"
"Dix et Sept", "new_york", "Weekend_Dining Little_Known_But_Well_Liked Romantic Quiet_for_Conversation Up_and_Coming After_Hours_Dining Late_Night_Menu French_Bistro Extraordinary_Food Excellent_Service Excellent_Decor $30-$50"
"Restaurant Two Two Two", "new_york", "Extraordinary_Food Excellent_Service Excellent_Decor $30-$50"
"Harry's Burritos", "new_york", "Up_and_Coming After_Hours_Dining Late_Night_Menu Delivery_Available Takeout_Available Burritos Tacos Mexican Tex-Mex Good_Food Good_Service Fair_Decor below_$15"
"Christo's Steak House", "new_york", "After_Hours_Dining Late_Night_Menu Steakhouses Excellent_Food Excellent_Service Excellent_Decor $30-$50"
"Lofland's N.Y. Grill", "new_york", "American_(Traditional) Bar-B-Q Grills Hamburgers_&_Beer Excellent_Food Good_Service Good_Decor $15-$30"
"Bayamo", "new_york", "People_Keep_Coming_Back Place_for_Singles Private_Parties Private_Rooms_Available After_Hours_Dining Late_Night_Menu Dancing Entertainment Dancing Entertainment Chinese Cuban Good_Food Good_Service Excellent_Decor $15-$30"
"MANHATTAN OCEAN CLUB", "new_york", "Fabulous_Wine_Lists Good_Out_of_Town_Business Weekend_Dining Relaxed_Senior_Scene Quiet_for_Conversation Seafood Extraordinary_Food Extraordinary_Service Extraordinary_Decor over_$50"
"Steamer's Landing", "new_york", "Dining_Outdoors American_(Traditional) Seafood Good_Food Good_Service Excellent_Decor $15-$30"
"Sidewalker's", "new_york", "For_the_Young_and_Young_at_Heart American_(Regional) Seafood Excellent_Food Good_Service Good_Decor $15-$30"
"Road to Mandalay", "new_york", "Little_Known_But_Well_Liked Burmese Extraordinary_Food Excellent_Service Good_Decor $15-$30"
"The Shelby", "new_york", "Wheelchair_Access Weekend_Dining Place_for_Singles American_(Contemporary) Excellent_Food Excellent_Service Good_Decor $30-$50"
"Col Legno", "new_york", "Warm_spots_by_the_fire Italian Pizza Excellent_Food Good_Service Good_Decor $15-$30"
"Nosmo King", "new_york", "Prix_Fixe_Menus Quirky Health_Conscious_Menus Delivery_Available Takeout_Available Dancing Entertainment Creative Creative American_(Contemporary) Vegetarian Excellent_Food Excellent_Service Excellent_Decor $30-$50"
"La Topiaire", "new_york", "French Excellent_Food Excellent_Service Excellent_Decor $30-$50"
"New Chao Chow", "new_york", "Up_and_Coming Authentic Vietnamese Excellent_Food Good_Service Poor_Decor $15-$30"
"Lum Chin", "new_york", "Prix_Fixe_Menus Fine_for_Dining_Alone Dancing Entertainment Chinese Excellent_Food Excellent_Service Excellent_Decor $15-$30"
"The N.Y. Delicatessen", "new_york", "Good_for_Younger_Kids For_the_Young_and_Young_at_Heart People_Keep_Coming_Back Private_Parties Private_Rooms_Available American_(Traditional) Deli Jewish Good_Food Good_Service Good_Decor $15-$30"
"Kin Khao", "new_york", "Up_and_Coming Authentic Thai Excellent_Food Excellent_Service Excellent_Decor $15-$30"
"Anglers & Writers", "new_york", "High_Tea Weekend_Dining Coffee_and_Dessert Special_Brunch_Menu Open_for_Breakfast American_(Regional) Pastries Excellent_Food Excellent_Service Extraordinary_Decor $15-$30"
"La Taza De Oro", "new_york", "Quirky Fine_for_Dining_Alone Coffee_Shops Cuban Spanish Excellent_Food Good_Service Fair_Decor below_$15"
"Bimini Twist", "new_york", "Creative Caribbean Excellent_Food Good_Service Good_Decor $15-$30"
"Cafe S.F.A.", "new_york", "Good_for_Younger_Kids Relaxed_Senior_Scene Fine_for_Dining_Alone Coffee_and_Dessert American_(Contemporary) Excellent_Food Excellent_Service Excellent_Decor $15-$30"
"Palm Too", "new_york", "Private_Parties Private_Rooms_Available Steakhouses Extraordinary_Food Excellent_Service Good_Decor $30-$50"
"CARNEGIE DELI", "new_york", "Good_for_Younger_Kids For_the_Young_and_Young_at_Heart Weekend_Dining After_Hours_Dining Late_Night_Menu Fine_for_Dining_Alone Delivery_Available Takeout_Available Authentic Deli Jewish Excellent_Food Good_Service Fair_Decor $15-$30"
"Le Bilboquet", "new_york", "French_Bistro Excellent_Food Good_Service Excellent_Decor $30-$50"
"LESPINASSE", "new_york", "Good_Out_of_Town_Business Quiet_for_Conversation Classic_Hotel_Dining French Near-perfect_Food Near-perfect_Service Near-perfect_Decor over_$50"
"Seattle Bean Co.", "new_york", "Place_for_Singles Up_and_Coming Coffee_and_Dessert Excellent_Food Excellent_Service Excellent_Decor below_$15"
"Bloom's Delicatessen", "new_york", "Fine_for_Dining_Alone Delivery_Available Takeout_Available Coffee_Shops Deli Good_Food Good_Service Good_Decor $15-$30"
"Millenium Grill", "new_york", "Quiet_for_Conversation Prix_Fixe_Menus Up_and_Coming Classic_Hotel_Dining Fine_for_Dining_Alone American_(Contemporary) Excellent_Food Extraordinary_Service Excellent_Decor $30-$50"
"Paolucci's", "new_york", "Warm_spots_by_the_fire Italian Excellent_Food Excellent_Service Good_Decor $15-$30"
"Lello Ristorante", "new_york", "Italian Excellent_Food Excellent_Service Excellent_Decor $30-$50"
"Ferdinando's Focacceria", "new_york", "Little_Known_But_Well_Liked Up_and_Coming Warm_spots_by_the_fire Authentic Italian Extraordinary_Food Excellent_Service Good_Decor $15-$30"
"Tre Pomodori", "new_york", "Up_and_Coming Italian Excellent_Food Excellent_Service Good_Decor $15-$30"
"Marti Kebab", "new_york", "Turkish Excellent_Food Excellent_Service Poor_Decor $15-$30"
"Mocca Hungarian", "new_york", "Wheelchair_Access Prix_Fixe_Menus Quirky Hungarian Excellent_Food Good_Service Fair_Decor $15-$30"
"TERRACE", "new_york", "Relaxed_Senior_Scene Romantic Quiet_for_Conversation Prix_Fixe_Menus Dining_Outdoors Game Dancing Entertainment French Extraordinary_Food Extraordinary_Service Near-perfect_Decor over_$50"
"Gramercy Watering Hole", "new_york", "Good_Food Good_Service Good_Decor $15-$30"
"China Grill", "new_york", "Wheelchair_Access Weekend_Dining Place_for_Singles Old_World_Cafe_Charm Californian Chinese Extraordinary_Food Excellent_Service Extraordinary_Decor $30-$50"
