restaurant,features
616, 158 52 89 91 88 0
617, 164 174 5 119 106 220 84 127 65 91 64 0
618, 222 174 84 199 65 91 88 1
619, 209 201 65 66 88 0
620, 222 86 198 84 65 66 67 1
621, 115 65 66 88 0
622, 23 90 222 179 177 170 86 113 127 68 69 67 230
623, 209 187 65 91 88 0
624, 175 178 6 42 65 91 64 0
625, 220 43 36 51 68 91 88 0
626, 209 113 65 91 88 0
627, 5 119 113 89 91 88 0
628, 90 179 177 174 172 173 86 50 204 185 68 69 67 230
629, 164 5 119 6 84 89 91 88 0
630, 222 178 214 209 6 27 45 65 66 72 0
631, 54 40 42 156 65 91 88 0
632, 174 54 5 119 6 65 66 64 1
633, 5 119 48 62 113 89 91 72 0
634, 92 80 222 5 119 77 198 146 6 39 144 89 91 88 0
635, 225 222 54 6 65 91 88 1
636, 48 62 36 65 66 64 1
637, 172 173 178 214 48 62 194 192 89 91 88 0
638, 113 65 66 64 1
639, 80 178 36 46 65 91 168 229
640, 222 50 204 198 43 6 59 187 65 66 64 1
641, 175 5 119 48 62 6 89 91 88 0
642, 123 179 181 177 172 173 214 77 36 68 66 67 1
643, 5 119 209 197 65 66 88 0
644, 84 89 91 88 0
645, 175 199 89 91 88 0
646, 209 113 65 91 88 0
647, 43 6 187 68 66 64 1
648, 214 50 204 156 89 91 88 0
649, 181 113 116 68 69 67 1
650, 164 175 5 119 48 62 6 96 89 91 88 0
651, 158 5 119 6 27 45 194 192 89 91 88 0
652, 174 109 65 66 64 0
653, 90 222 174 198 34 84 183 68 69 67 230
654, 172 173 209 65 66 72 0
655, 7 113 65 66 88 1
656, 214 6 113 89 91 88 0
657, 174 54 86 84 65 66 64 1
658, 6 187 89 91 88 0
659, 123 115 65 66 88 1
660, 71 174 172 173 209 209 113 68 66 88 1
661, 174 5 119 48 62 113 65 66 64 1
662, 222 170 86 113 68 66 88 1
663, 220 50 204 113 162 65 66 88 1
664, 206 65 91 88 0
665, 222 174 171 172 173 50 204 209 113 65 66 64 1
666, 92 80 222 54 113 65 91 88 0
667, 214 113 65 91 88 0
668, 71 222 172 173 6 65 91 64 0
669, 123 37 103 6 28 68 66 67 1
670, 178 214 6 89 91 88 0
671, 46 89 91 88 0
672, 164 175 94 5 119 6 99 89 91 88 0
673, 172 173 54 5 119 113 65 66 64 0
674, 36 65 91 72 0
675, 71 225 90 174 172 173 36 68 69 67 1
676, 13 36 68 74 168 229
677, 225 174 86 13 13 84 65 66 88 1
678, 214 48 62 113 201 65 66 64 1
679, 77 50 204 6 96 99 65 91 72 0
680, 174 171 37 48 62 198 42 84 113 65 66 133 1
681, 113 68 66 64 230
682, 113 65 66 88 1
683, 92 222 77 50 204 49 65 91 72 0
684, 115 68 66 64 1
685, 220 113 65 66 64 1
686, 174 84 65 66 88 1
687, 5 119 48 62 113 65 66 64 1
688, 54 113 65 66 64 1
689, 6 187 65 66 64 1
690, 225 158 181 5 119 59 89 66 67 0
691, 113 201 89 91 88 0
692, 179 181 84 68 69 67 230
693, 92 80 105 222 179 77 50 204 146 6 84 65 91 88 1
694, 225 94 54 143 84 65 66 64 1
695, 198 6 65 91 64 1
696, 178 197 89 91 88 0
697, 113 65 66 64 0
698, 90 174 172 173 48 62 6 6 65 66 67 1
699, 90 222 179 170 172 173 7 50 204 13 199 134 66 88 1
700, 37 89 91 88 0
701, 225 174 50 204 113 65 66 64 1
702, 222 177 174 37 198 84 68 135 133 230
703, 126 129 129 89 91 88 0
704, 54 220 43 113 65 91 88 0
705, 174 54 113 162 65 66 64 1
706, 36 65 91 88 0
707, 48 62 113 65 66 88 0
708, 178 146 212 65 91 72 229
709, 123 36 68 66 64 0
710, 174 54 220 42 113 65 66 64 1
711, 89 91 88 0
712, 164 181 94 178 214 5 119 106 48 62 84 65 91 64 0
713, 71 90 179 170 199 68 66 64 230
714, 225 80 222 179 50 204 13 129 129 68 66 64 1
715, 37 6 96 89 91 88 0
716, 36 65 66 72 0
717, 222 174 178 50 204 48 62 95 89 91 88 0
718, 50 204 6 15 65 91 72 0
719, 174 6 59 89 91 88 0
720, 80 222 54 5 119 50 204 43 113 65 66 88 0
721, 174 113 199 65 66 88 1
722, 178 220 77 209 84 65 66 72 229
723, 23 92 225 80 222 158 172 173 143 6 96 99 89 91 67 0
724, 84 218 65 66 64 1
725, 123 36 68 66 72 229
726, 177 197 65 66 64 1
727, 174 172 173 54 7 220 6 65 66 64 0
728, 225 179 177 174 214 37 115 89 91 88 0
729, 214 113 89 91 88 0
730, 123 214 48 62 113 68 66 64 1
731, 220 50 204 209 13 206 89 91 88 0
732, 105 158 177 48 62 40 6 89 66 67 0
733, 158 164 174 94 172 173 5 119 48 62 6 89 91 67 1
734, 54 37 103 113 65 66 64 1
735, 65 66 88 0
736, 222 174 172 173 54 198 84 68 69 67 1
737, 92 103 198 215 65 66 88 0
738, 54 178 5 119 103 48 62 198 215 89 91 88 0
739, 50 204 6 59 89 91 88 0
740, 113 65 66 64 1
741, 94 54 5 119 84 65 91 64 1
742, 174 9 6 89 91 88 0
743, 80 198 146 6 36 59 65 91 88 0
744, 113 65 66 64 1
745, 164 175 178 214 50 204 198 59 89 91 88 0
746, 164 171 94 172 173 106 50 204 48 62 6 194 192 65 66 64 1
747, 225 174 171 172 173 50 204 48 62 42 199 89 91 88 0
748, 225 174 113 65 66 64 1
749, 172 173 99 89 91 64 0
750, 54 5 119 48 62 95 65 66 64 0
751, 164 94 5 119 42 65 91 64 1
752, 174 171 50 204 109 68 66 67 1
753, 89 91 88 0
754, 222 214 187 65 66 64 1
755, 181 172 173 54 143 220 48 62 43 6 68 69 133 1
756, 89 66 88 1
757, 124 225 174 171 170 94 50 204 43 113 68 66 64 1
758, 80 158 50 204 115 142 89 91 72 229
759, 222 179 174 54 84 65 66 88 1
760, 84 199 65 66 88 1
761, 187 65 91 72 0
762, 113 65 66 64 1
763, 113 65 66 88 0
764, 115 65 66 64 0
765, 123 113 68 66 64 1
766, 123 178 5 119 115 68 66 64 0
767, 222 177 77 198 95 127 187 68 66 64 0
768, 113 89 91 64 0
769, 171 6 59 99 89 91 88 0
770, 89 91 64 0
771, 92 158 172 173 48 62 99 89 66 64 229
772, 84 65 66 88 0
773, 90 179 181 174 94 106 86 84 134 135 133 230
774, 225 90 179 177 174 170 86 84 134 69 133 230
775, 174 113 65 66 64 1
776, 103 215 65 66 88 0
777, 175 5 119 6 99 113 89 91 64 0
778, 179 113 65 66 64 1
779, 222 164 214 5 119 48 62 6 31 65 66 64 1
780, 84 65 66 64 1
781, 89 91 88 0
782, 225 222 50 204 198 116 68 91 72 0
783, 89 66 88 0
784, 214 43 6 65 66 64 1
785, 172 173 42 65 66 64 1
786, 222 214 6 59 89 91 88 0
787, 92 158 5 119 146 30 153 89 91 72 0
788, 50 204 113 65 66 88 1
789, 123 115 68 66 64 1
790, 103 115 68 66 88 0
791, 222 179 187 68 66 64 1
792, 225 54 214 43 6 196 65 66 64 1
793, 54 198 113 65 66 64 1
794, 128 209 6 59 68 69 88 1
795, 222 174 43 109 65 66 88 0
796, 65 66 64 1
797, 174 113 68 69 64 1
798, 222 177 37 198 42 68 69 67 230
799, 222 179 174 50 204 109 68 66 64 1
800, 92 80 222 50 204 198 146 6 39 215 65 66 88 0
801, 86 209 113 65 66 88 1
802, 225 90 179 177 174 171 86 84 68 69 67 230
803, 68 91 72 0
804, 164 172 173 178 214 48 62 27 45 65 66 64 0
805, 225 170 172 173 199 68 66 64 1
806, 174 54 86 84 68 66 64 1
807, 65 91 88 0
808, 222 179 54 214 5 119 113 89 91 88 0
809, 80 222 54 5 119 103 50 204 21 203 129 129 65 91 72 229
810, 225 158 164 175 5 119 48 62 6 89 91 64 0
811, 113 65 66 88 1
812, 92 158 50 204 6 39 99 89 91 72 229
813, 222 164 172 173 54 6 196 65 66 64 0
814, 164 178 214 5 119 48 62 59 89 91 88 0
815, 123 113 65 66 88 0
816, 164 6 15 65 74 72 229
817, 174 50 204 84 65 66 64 1
818, 5 119 113 162 65 91 72 0
819, 134 66 88 0
820, 222 174 178 87 65 66 64 0
821, 48 62 6 89 66 88 1
822, 164 5 119 129 129 89 91 88 0
823, 48 62 113 89 91 88 0
824, 178 214 218 65 91 72 229
825, 48 62 6 65 91 64 0
826, 123 54 220 43 113 65 66 64 1
827, 177 209 209 113 65 66 64 1
828, 214 6 127 89 91 88 0
829, 48 62 197 65 66 88 0
830, 174 54 48 62 43 84 87 113 201 65 66 64 1
831, 123 115 68 66 88 1
832, 174 94 54 84 65 91 64 1
833, 124 225 84 65 66 64 1
834, 214 109 89 91 88 0
835, 214 36 65 66 88 0
836, 146 209 39 52 59 65 91 88 0
837, 222 174 113 68 66 64 1
838, 214 5 119 36 65 91 72 0
839, 225 90 170 106 86 113 134 69 64 230
840, 209 113 65 66 88 0
841, 115 65 66 88 1
842, 172 173 36 51 68 91 88 0
843, 123 214 218 68 91 72 0
844, 113 89 91 88 0
845, 158 164 175 172 173 7 6 99 89 91 64 0
846, 225 90 179 177 174 170 172 173 86 84 68 69 67 230
847, 54 84 65 66 64 1
848, 225 222 181 113 65 66 64 1
849, 209 127 211 65 66 88 0
850, 225 222 220 50 204 206 68 66 72 0
851, 174 174 42 84 68 69 67 1
852, 92 225 80 164 214 40 156 89 91 88 0
853, 225 174 172 173 54 5 119 198 6 65 91 64 0
854, 43 113 68 66 64 230
855, 222 164 5 119 198 113 127 65 91 64 0
856, 6 6 89 91 88 0
857, 105 158 179 177 174 171 172 173 6 42 89 66 64 1
858, 174 113 68 69 64 1
859, 214 113 65 91 67 1
860, 92 225 80 222 179 175 172 173 50 204 198 6 65 66 64 1
861, 92 37 50 204 209 84 65 69 64 1
862, 181 172 173 54 5 119 106 84 68 66 64 1
863, 80 158 129 129 89 91 72 0
864, 158 164 175 7 99 89 91 88 0
865, 222 123 178 48 62 13 6 99 194 192 68 66 64 0
866, 113 65 66 88 0
867, 222 181 174 37 198 42 68 69 67 230
868, 181 113 65 66 64 0
869, 164 65 91 88 0
870, 164 172 173 196 65 91 64 0
871, 209 115 65 91 88 0
872, 43 113 65 91 88 0
873, 80 54 5 119 209 36 65 91 88 0
874, 92 80 164 94 214 106 143 77 6 96 89 91 88 0
875, 84 65 66 64 1
876, 113 68 66 64 1
877, 123 50 204 115 68 66 88 1
878, 158 175 5 119 220 59 61 89 91 88 0
879, 225 5 119 77 6 39 52 89 91 88 0
880, 50 204 115 65 91 88 0
881, 222 174 171 172 173 48 62 13 183 65 66 64 1
882, 164 175 7 178 6 99 89 91 88 0
883, 7 113 65 66 88 1
884, 90 181 177 172 173 7 5 119 220 48 62 42 68 69 133 230
885, 54 220 40 84 113 73 91 64 0
886, 209 13 36 65 91 88 0
887, 77 209 99 89 91 88 0
888, 113 68 69 88 1
889, 172 173 48 62 59 89 66 64 0
890, 113 68 66 64 1
891, 115 68 66 64 1
892, 222 179 174 214 113 127 187 89 91 88 0
893, 113 65 91 88 0
894, 175 77 6 89 91 88 0
895, 179 174 172 173 50 204 113 68 69 64 1
896, 225 222 158 113 89 91 88 0
897, 225 222 158 113 89 91 88 0
898, 158 175 54 7 5 119 209 6 99 89 91 88 0
899, 123 214 115 68 66 64 0
900, 113 68 66 64 1
901, 48 62 116 187 65 91 88 0
902, 71 90 222 179 37 6 199 68 66 64 230
903, 179 174 50 204 13 115 68 66 64 1
904, 80 222 129 129 65 91 88 0
905, 179 177 37 115 68 66 64 1
906, 225 113 65 66 64 1
907, 158 164 175 54 6 96 99 89 91 88 0
908, 143 50 204 113 65 66 64 1
909, 225 222 174 84 65 66 64 1
910, 48 62 31 65 91 64 0
911, 158 164 172 173 178 48 62 6 31 36 115 89 91 88 0
912, 92 179 7 37 48 62 40 128 6 42 65 66 67 1
913, 174 86 42 65 66 64 1
914, 10 183 89 91 88 0
915, 214 48 62 43 6 59 65 66 64 0
916, 181 54 40 198 156 65 91 64 229
917, 113 65 91 88 0
918, 123 54 178 95 68 66 88 0
919, 92 174 84 65 66 64 1
920, 5 119 36 51 65 91 72 0
921, 214 50 204 113 68 69 88 0
922, 5 119 48 62 113 65 66 64 0
923, 113 65 66 88 1
924, 181 171 48 62 84 65 66 64 1
925, 171 172 173 5 119 48 62 31 46 65 66 88 1
926, 121 130 89 91 88 0
927, 113 89 91 88 0
928, 214 77 36 142 89 91 88 0
929, 214 89 91 88 0
930, 5 119 113 65 91 64 0
931, 175 43 6 89 66 88 0
932, 206 65 66 88 0
933, 225 222 181 5 119 84 68 66 67 1
934, 225 222 158 177 172 173 6 89 91 88 1
935, 50 204 206 68 66 88 0
936, 5 119 48 62 121 130 65 91 88 0
937, 77 128 209 39 166 65 91 72 0
938, 113 65 91 88 0
939, 174 220 48 62 113 127 187 68 66 64 1
940, 5 119 48 62 209 129 129 89 66 64 0
941, 172 173 37 6 65 66 67 1
942, 209 113 65 66 88 0
943, 179 177 37 77 6 89 66 64 1
944, 222 16 65 66 64 1
945, 222 106 103 43 6 65 66 64 0
946, 174 84 68 66 64 1
947, 92 225 174 170 7 50 204 198 209 209 6 187 194 192 68 66 67 1
948, 178 5 119 86 13 95 65 91 88 0
949, 225 90 164 174 94 106 143 198 43 6 96 68 66 64 1
950, 92 174 103 50 204 113 127 89 91 88 0
951, 164 94 5 119 103 6 65 66 67 1
952, 48 62 84 65 66 64 1
953, 109 65 91 88 0
954, 115 65 66 88 1
955, 5 119 115 89 91 88 0
956, 54 5 119 220 6 96 65 66 64 0
957, 222 177 54 214 77 43 6 65 66 64 1
958, 172 173 77 146 59 65 91 88 0
959, 113 65 66 88 1
960, 92 158 37 48 62 113 73 91 88 1
961, 158 7 113 89 66 88 1
962, 123 113 65 66 64 1
963, 222 181 174 5 119 220 42 187 65 66 64 1
964, 54 127 197 65 66 64 1
965, 127 65 66 88 0
966, 6 96 65 66 88 0
967, 174 54 50 204 109 89 91 88 0
968, 174 209 84 89 91 88 0
969, 113 65 66 64 1
970, 225 90 174 43 6 65 66 64 1
971, 86 13 84 68 66 64 1
972, 54 113 89 91 88 0
973, 179 177 174 37 6 42 68 69 67 1
974, 92 80 77 99 129 129 89 91 88 0
975, 90 172 173 50 204 43 36 68 66 64 1
976, 174 7 37 84 65 69 67 1
977, 189 225 77 113 65 66 64 0
978, 36 65 66 72 0
979, 206 65 66 88 0
980, 23 71 90 222 170 94 106 143 198 43 6 68 69 67 230
981, 225 225 164 179 94 214 106 84 89 91 88 0
982, 90 181 174 171 172 173 103 43 6 68 69 67 230
983, 92 199 68 66 88 0
984, 65 66 64 0
985, 214 113 65 66 88 0
986, 113 68 66 88 1
987, 7 113 65 66 88 0
988, 214 48 62 6 27 45 89 66 88 1
989, 92 80 222 158 5 119 15 99 196 89 91 72 229
990, 179 174 54 113 89 91 88 0
991, 214 40 215 65 91 88 0
992, 80 164 54 198 6 6 96 89 91 88 0
993, 174 172 173 5 119 50 204 48 62 43 197 65 66 64 1
994, 174 113 65 66 88 1
995, 80 198 6 39 65 91 88 0
996, 89 74 72 229
997, 71 222 171 172 173 103 50 204 198 146 43 6 28 68 66 67 1
998, 222 174 37 113 68 69 67 230
999, 90 179 181 177 172 173 37 86 84 134 135 133 230
1000, 89 91 88 0
1001, 20 65 91 88 0
1002, 92 80 5 119 36 51 65 91 72 0
1003, 164 178 214 18 6 89 91 88 0
1004, 123 113 68 69 64 1
1005, 222 179 6 113 68 66 64 1
1006, 113 65 66 64 1
1007, 92 181 54 5 119 103 220 42 187 65 66 67 1
1008, 54 113 65 91 88 0
1009, 54 214 5 119 106 113 65 91 64 1
1010, 174 48 62 116 65 66 88 1
1011, 54 214 113 89 91 88 0
1012, 113 68 69 64 1
1013, 92 113 65 66 88 0
1014, 80 54 113 89 91 72 229
1015, 158 5 119 113 89 91 88 1
1016, 214 40 84 89 91 64 0
1017, 89 91 88 0
1018, 50 204 199 65 66 88 1
1019, 222 113 89 91 88 0
1020, 13 127 211 89 91 88 0
1021, 214 113 89 91 88 0
1022, 222 174 171 172 173 54 198 6 65 66 64 1
1023, 123 115 68 66 88 0
1024, 222 113 65 66 88 0
1025, 36 65 91 72 0
1026, 6 39 99 89 91 72 229
1027, 172 173 5 119 48 62 42 89 91 67 1
1028, 175 214 5 119 27 45 96 99 65 66 64 0
1029, 178 50 204 109 65 66 88 0
1030, 222 175 198 6 65 66 64 1
1031, 113 65 91 88 0
1032, 222 123 174 172 173 178 48 62 198 6 194 192 65 66 64 0
1033, 65 66 64 1
1034, 36 65 91 88 0
1035, 71 225 174 6 116 65 66 64 1
1036, 50 204 206 68 66 64 1
1037, 178 95 187 68 66 72 0
1038, 222 175 5 119 50 204 48 62 6 199 65 66 64 0
1039, 5 119 209 197 65 66 72 0
1040, 80 164 198 209 6 59 194 192 65 91 72 0
1041, 123 113 65 66 64 1
1042, 174 54 86 220 6 65 66 64 1
1043, 220 84 65 66 64 0
1044, 5 119 36 51 65 66 64 0
1045, 71 174 171 172 173 143 50 204 84 199 65 66 64 1
1046, 36 65 91 72 0
1047, 177 54 214 198 6 84 89 91 88 0
1048, 50 204 206 65 91 88 0
1049, 5 119 48 62 113 162 65 91 72 229
1050, 222 181 174 172 173 143 220 48 62 198 6 187 65 66 67 1
1051, 71 90 179 181 174 171 170 172 173 7 5 119 48 62 42 65 69 133 230
1052, 222 54 127 65 66 64 1
1053, 113 127 65 66 88 0
1054, 222 172 173 7 220 99 112 65 66 64 0
1055, 113 65 91 72 0
1056, 113 65 66 88 0
1057, 172 173 54 5 119 143 48 62 198 6 65 66 67 1
1058, 92 174 103 50 204 113 127 68 66 64 1
1059, 77 15 96 89 74 168 229
1060, 54 6 28 196 65 66 64 1
1061, 50 204 36 68 66 88 1
1062, 54 113 187 89 91 88 0
1063, 225 222 174 54 113 65 66 64 1
1064, 222 181 174 86 84 68 69 67 1
1065, 92 225 80 222 214 77 50 204 21 203 129 129 65 91 72 229
1066, 209 209 206 65 91 88 0
1067, 222 198 6 87 89 66 88 0
1068, 92 80 222 5 119 50 204 113 162 68 91 168 229
1069, 123 103 43 42 85 65 69 64 0
1070, 54 214 43 127 65 66 64 1
1071, 84 65 66 64 1
1072, 92 80 113 89 91 88 0
1073, 103 115 68 66 64 0
1074, 92 80 50 204 162 68 91 72 229
1075, 225 222 113 65 66 88 1
1076, 92 80 172 173 5 119 40 198 6 156 65 91 64 0
1077, 80 7 113 65 66 88 1
1078, 68 66 88 1
1079, 54 6 87 65 91 88 0
1080, 54 31 187 89 91 88 0
1081, 48 62 187 65 91 64 0
1082, 164 50 204 6 89 91 88 0
1083, 174 36 51 65 66 64 0
1084, 174 54 5 119 143 220 113 89 91 88 0
1085, 105 40 6 65 91 88 0
1086, 222 164 174 54 178 5 119 103 42 59 89 91 88 0
1087, 65 91 88 0
1088, 92 178 220 6 113 187 65 91 88 1
1089, 89 91 88 0
1090, 222 178 214 127 211 68 66 64 0
1091, 225 174 54 214 5 119 84 113 89 91 88 0
1092, 179 177 174 86 84 68 69 67 230
1093, 222 5 119 48 62 198 6 31 187 65 66 64 1
1094, 179 209 6 194 192 68 66 64 1
1095, 209 43 115 65 91 88 0
1096, 80 158 40 6 99 162 215 89 91 72 0
1097, 113 116 65 66 64 1
1098, 189 92 80 158 172 173 178 50 204 15 89 91 88 0
1099, 179 181 177 174 172 173 37 86 220 42 84 68 69 133 230
1100, 164 94 54 5 119 84 65 91 64 1
1101, 143 84 89 91 88 1
1102, 115 65 66 64 0
1103, 209 113 65 91 72 0
1104, 92 80 50 204 146 6 113 127 65 66 88 0
1105, 92 158 6 99 89 91 64 0
1106, 225 90 179 170 172 173 50 204 36 68 69 64 1
1107, 50 204 113 89 91 88 0
1108, 225 209 113 65 66 64 1
1109, 178 214 130 131 89 91 88 0
1110, 113 65 66 64 1
1111, 158 164 175 172 173 54 6 96 89 91 88 0
1112, 220 6 199 89 91 88 0
1113, 115 89 91 88 0
1114, 92 172 173 220 6 89 91 88 0
1115, 80 222 5 119 113 65 91 88 0
1116, 225 222 50 204 113 65 66 64 1
1117, 174 84 68 66 64 1
1118, 89 91 88 0
1119, 123 214 36 65 91 88 0
1120, 225 177 77 113 68 66 64 1
1121, 225 54 113 65 66 64 1
1122, 80 36 65 66 72 0
1123, 80 222 164 84 199 65 91 88 1
1124, 158 129 129 196 73 91 72 0
1125, 113 162 65 66 88 0
1126, 174 172 173 178 220 48 62 209 108 65 66 64 1
1127, 225 222 179 174 171 214 106 77 113 89 91 88 0
1128, 113 65 66 64 0
1129, 123 214 5 119 113 162 68 69 64 0
1130, 48 62 31 65 91 88 0
1131, 36 65 66 88 0
1132, 222 158 164 54 5 119 129 129 89 91 88 0
1133, 174 86 84 127 65 69 64 1
1134, 178 214 117 89 91 88 0
1135, 123 5 119 113 65 66 64 0
1136, 5 119 115 65 66 64 0
1137, 36 65 91 88 0
1138, 225 222 174 50 204 128 187 68 66 64 1
1139, 225 113 65 66 88 1
1140, 80 179 77 43 113 65 66 64 1
1141, 222 103 43 6 28 59 187 215 68 66 64 1
1142, 222 13 113 65 66 88 1
1143, 134 69 67 1
1144, 174 113 65 66 64 1
1145, 71 179 181 177 174 171 172 173 7 86 220 48 62 113 65 66 67 1
1146, 179 187 89 91 88 0
1147, 23 92 158 172 173 54 5 119 198 59 89 91 88 0
1148, 123 172 173 178 214 48 62 84 89 91 88 0
1149, 113 65 69 64 1
1150, 164 171 5 119 103 143 50 204 113 162 65 91 64 1
1151, 50 204 39 42 89 91 88 0
1152, 209 47 65 66 88 1
1153, 174 48 62 113 65 66 64 1
1154, 172 173 5 119 48 62 6 6 113 89 91 64 1
1155, 50 204 162 68 74 168 229
1156, 92 225 222 172 173 178 50 204 48 62 198 194 192 65 66 88 0
1157, 222 177 174 106 37 48 62 198 146 42 84 68 69 133 230
1158, 123 214 48 62 13 95 65 66 64 0
1159, 179 77 48 62 84 144 65 66 88 0
1160, 222 54 5 119 220 113 65 66 88 1
1161, 214 129 129 89 91 88 0
1162, 90 170 113 68 69 64 1
1163, 80 77 48 62 6 39 52 89 91 88 0
1164, 181 172 173 84 68 69 67 1
1165, 54 113 89 91 64 0
1166, 214 36 51 65 91 72 229
1167, 222 174 50 204 6 199 68 66 64 1
1168, 206 68 66 88 0
1169, 36 51 65 91 88 0
1170, 40 198 146 65 91 72 229
1171, 158 164 94 5 119 84 89 74 88 1
1172, 206 68 66 88 0
1173, 206 65 66 64 0
1174, 65 66 67 1
1175, 71 225 90 179 175 170 94 172 173 106 103 86 220 77 6 99 65 66 67 230
1176, 225 50 204 198 113 187 65 91 88 0
1177, 177 172 173 115 68 66 67 1
1178, 92 222 164 172 173 50 204 48 62 43 129 129 68 66 64 1
1179, 222 178 50 204 206 68 91 88 0
1180, 222 113 68 66 64 1
1181, 50 204 209 209 113 68 66 64 1
1182, 181 54 113 116 65 66 64 1
1183, 222 175 172 173 5 119 198 6 89 91 64 0
1184, 209 89 91 88 0
1185, 179 174 37 103 6 65 66 64 1
1186, 36 51 65 91 88 0
1187, 222 178 31 65 66 88 0
1188, 209 113 65 66 88 1
1189, 23 222 179 177 170 50 204 199 89 91 88 0
1190, 164 181 94 54 214 5 119 113 89 91 88 0
1191, 92 158 50 204 84 89 91 88 0
1192, 6 68 66 64 1
1193, 178 48 62 95 68 66 64 0
1194, 164 175 214 106 220 198 6 89 91 88 0
1195, 222 174 54 84 65 66 64 1
1196, 23 214 109 89 91 88 0
1197, 225 172 173 113 65 66 64 1
1198, 18 6 89 91 88 0
1199, 80 158 5 119 162 89 91 88 0
1200, 214 187 89 91 88 0
1201, 39 166 65 91 72 229
1202, 179 37 209 6 199 65 66 64 1
1203, 174 54 84 65 66 64 1
1204, 123 206 68 66 88 0
1205, 36 65 91 72 229
1206, 92 158 162 89 91 88 0
1207, 113 65 66 88 0
1208, 36 65 66 88 0
1209, 225 50 204 65 91 72 229
1210, 92 214 5 119 40 42 52 59 89 91 88 0
1211, 113 89 91 88 0
1212, 84 65 66 88 1
1213, 48 62 113 130 215 89 91 88 0
1214, 225 222 175 174 5 119 77 48 62 198 209 6 99 89 91 88 0
1215, 214 48 62 3 130 65 66 88 0
1216, 220 209 84 65 66 64 1
1217, 160 6 65 91 72 0
1218, 123 9 113 6 68 66 72 0
1219, 37 103 6 68 69 67 1
1220, 189 214 113 65 66 88 0
1221, 5 119 220 6 89 91 64 0
1222, 181 7 209 84 68 66 67 1
1223, 174 84 89 91 88 0
1224, 92 158 143 89 91 88 0
1225, 5 119 50 204 109 65 66 88 0
1226, 222 175 172 173 54 50 204 48 62 198 6 89 91 88 0
1227, 71 90 179 181 177 174 170 54 106 86 6 134 135 133 230
1228, 222 146 6 65 66 64 0
1229, 158 175 54 5 119 6 96 99 89 91 88 0
1230, 54 214 84 121 89 91 88 0
1231, 123 174 214 5 119 36 51 187 68 91 88 0
1232, 172 173 113 65 91 88 0
1233, 158 220 6 112 73 91 88 0
1234, 179 77 113 162 89 91 88 0
1235, 175 170 178 106 113 68 66 88 1
1236, 50 204 115 89 91 88 0
1237, 92 222 158 175 174 171 172 173 54 143 220 50 204 6 99 89 91 88 0
1238, 225 222 179 171 172 173 7 6 199 65 66 88 1
1239, 164 113 162 65 91 88 0
1240, 179 5 119 37 48 62 43 6 68 69 67 1
1241, 164 54 5 119 40 113 89 91 88 0
1242, 50 204 109 65 66 88 0
1243, 222 158 174 172 173 146 6 89 66 64 1
1244, 92 80 50 204 48 62 40 146 128 6 52 99 89 91 88 0
1245, 174 84 68 66 64 1
1246, 113 65 66 64 1
1247, 92 172 173 36 65 91 88 0
1248, 115 65 66 88 0
1249, 65 66 64 1
1250, 197 65 66 72 0
1251, 36 51 187 65 91 72 0
1252, 214 6 89 91 88 0
1253, 90 105 222 179 181 174 171 172 173 54 220 48 62 198 6 68 69 133 230
1254, 92 174 172 173 37 209 6 89 91 64 0
1255, 189 164 214 5 119 6 113 89 91 88 0
1256, 109 65 66 88 0
1257, 172 173 178 48 62 27 45 194 192 89 91 88 0
1258, 179 177 94 214 13 89 91 88 0
1259, 222 174 77 50 204 198 128 6 96 65 66 88 0
1260, 92 80 222 164 54 214 6 52 113 89 91 88 0
1261, 158 13 209 84 89 91 88 1
1262, 177 172 173 48 62 84 89 91 88 0
1263, 113 65 66 64 1
1264, 214 40 65 66 72 229
1265, 5 119 43 6 59 65 91 88 0
1266, 54 206 89 91 88 0
1267, 222 174 198 6 84 68 69 64 1
1268, 113 65 91 64 0
1269, 37 166 89 91 72 0
1270, 175 5 119 48 62 99 65 91 88 0
1271, 171 84 65 66 88 1
1272, 92 158 54 37 40 6 156 89 91 64 0
1273, 225 174 172 173 86 50 204 43 6 59 68 66 64 1
1274, 225 90 179 177 174 170 94 214 106 37 86 84 68 69 67 230
1275, 115 65 66 88 0
1276, 164 175 174 172 173 214 5 119 113 65 66 64 0
1277, 92 105 222 54 220 198 146 6 65 91 64 0
1278, 174 84 65 66 64 1
1279, 40 113 68 66 64 0
1280, 222 164 214 50 204 113 89 91 88 0
1281, 94 113 68 66 64 1
1282, 225 179 50 204 36 68 66 67 1
1283, 117 65 91 88 0
1284, 222 164 174 220 48 62 43 6 196 68 66 64 1
1285, 80 164 178 48 62 18 46 6 65 91 88 0
1286, 175 214 42 112 89 91 88 0
1287, 113 65 66 64 1
1288, 80 222 158 164 54 5 119 6 99 89 91 88 0
1289, 115 68 66 88 0
1290, 5 119 103 6 6 113 65 66 88 1
1291, 113 68 69 64 1
1292, 158 164 175 7 5 119 6 99 89 91 88 0
1293, 225 90 164 106 86 6 96 196 68 66 67 1
1294, 54 214 113 89 91 88 0
1295, 222 50 204 113 68 66 64 1
1296, 109 65 66 72 0
1297, 40 209 113 65 66 88 0
1298, 214 48 62 209 42 89 66 88 0
1299, 222 177 174 37 86 198 146 43 6 96 68 69 67 1
1300, 80 214 6 39 52 65 66 64 0
